provincia;canton;num_vivienda;num_hogar;num_persona;rol_hogar;sexo_nacim;anios;cultura;tip_colegio;nivel_academic;ocupacion;estado_conyugal;hijos;area;discapacidad;idiomas;tipo_vivienda
1;1;61;1;1;1;2;37;6;0;11;2;5;2;1;8;2;1
1;1;61;1;2;2;1;37;6;0;12;1;5;99;1;8;2;1
1;1;61;1;3;3;1;9;6;2;6;99;0;99;1;8;2;1
1;1;61;1;4;3;1;4;6;2;3;99;0;99;1;8;2;1
1;1;62;1;1;1;2;38;6;0;8;3;1;1;2;8;2;1
1;1;62;1;2;3;1;14;6;1;6;99;6;99;2;8;2;1
1;1;63;1;1;1;2;52;6;0;12;2;5;4;1;8;3;1
1;1;63;1;2;2;1;53;6;0;8;1;5;99;1;8;2;1
1;1;63;1;3;3;1;17;6;2;8;99;6;99;1;8;2;1
1;1;63;1;4;3;2;11;6;2;6;99;0;99;1;8;2;1
1;1;64;1;1;1;2;54;6;0;5;99;2;6;2;8;2;4
1;1;64;1;2;3;2;21;6;0;8;99;1;1;2;8;2;4
1;1;64;1;3;5;1;18;6;0;6;3;1;99;2;8;2;4
1;1;64;1;4;6;1;20;6;0;8;3;6;99;2;8;2;4
1;1;64;1;5;6;1;4;6;1;3;99;0;99;2;8;2;4
1;1;64;1;6;6;2;;6;0;1;99;0;99;2;8;0;4
1;1;65;1;1;1;2;41;6;0;8;6;3;3;1;8;2;4
1;1;66;1;1;1;1;65;6;0;5;6;3;99;1;8;2;1
1;1;66;1;2;2;1;29;6;0;7;99;6;99;1;1;2;1
1;1;66;2;1;1;1;24;6;0;11;99;6;99;1;8;7;4
1;1;67;1;1;1;2;70;6;0;1;99;6;8;2;1;2;5
1;1;67;1;2;6;1;17;6;0;6;99;6;99;2;8;2;5
1;1;68;1;1;1;1;52;6;0;5;1;5;99;2;8;2;1
1;1;68;1;2;2;2;43;6;0;5;99;5;3;2;8;2;1
1;1;68;1;3;3;1;21;6;2;10;99;6;99;2;8;2;1
1;1;68;1;4;3;2;19;6;0;11;99;6;99;2;8;2;1
1;1;68;1;5;3;1;14;6;1;6;99;6;99;2;8;2;1
1;1;69;1;1;1;2;52;6;0;6;99;5;6;2;8;2;1
1;1;69;1;2;3;2;32;6;0;11;1;6;99;2;8;2;1
1;1;69;1;3;3;1;25;6;0;8;1;6;99;2;8;2;1
1;1;69;1;4;3;2;21;6;1;11;99;6;99;2;8;2;1
1;1;70;1;1;1;2;35;6;0;11;6;3;3;1;8;2;1
